"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -2.236056372,       -11.7068181,      -12.02943523,       3.154418575,       6.414823141,        9.86891565
          0,           0,           1,      -2.197418455,     0.06823413258,      0.2875291725,        3.18363763,       5.814670227,       9.268929076
          0,           0,           2,      -2.251177573,      0.1108376196,      0.2701262257,       3.090382774,       5.215039088,       8.669515857
          0,           0,           3,      -2.262918115,      0.0712253172,      0.1842912242,       3.075143489,       4.615859376,       8.070663305
          0,           0,           4,       -2.31408475,     0.03590681949,     0.05346456156,       3.026243413,       4.016624263,       7.472759241
          0,           0,           5,      -2.340137946,      0.1079942848,    -0.04341623286,       3.025208818,       3.416970958,       6.888496118
          0,           0,           6,      -2.428670671,     0.04810840002,     -0.1396864781,       2.923528106,       2.818143987,       6.429875342
          0,           0,           7,      -2.474477336,      0.0248987877,     -0.1659451279,       2.901616057,        2.21715514,       6.258492983
          0,           0,           8,      -2.520878299,     0.04594343196,     -0.1053354938,       2.881131148,       1.611982758,       6.196984508
          0,           0,           9,      -2.543367976,    -0.01848190262,     -0.2332696149,       2.864362283,       1.189951659,       6.154364195
          0,           0,          10,      -2.547814537,     -0.0340971094,     -0.2042185153,       2.868750838,      0.7823853532,       6.088844388
          0,           0,          11,      -2.501921228,     0.01109771392,      -0.219655152,       2.919529159,      0.4206971972,       5.980827678
          0,           0,          12,      -2.482193926,  -0.0007660171821,     -0.1828644208,       2.944866306,      0.2198110363,       5.809468078
          0,           0,          13,      -2.505436857,    -0.03201535157,     -0.1386484552,       2.918038587,      0.1452958092,       5.588163373
          0,           0,          14,      -2.454569997,     0.05414633447,    -0.09044689234,       2.959316192,     0.06412527784,       5.307288807
          0,           0,          15,       -2.45318476,     0.05042943741,    -0.04611540853,       2.948595544,    -0.08423179223,       5.068802688
          0,           0,          16,      -2.467447739,   -0.004762113763,      -0.109614683,       2.933183405,      -0.104789521,       5.175862213
          0,           0,          17,       -2.46705079,    -0.05123592892,     -0.1104430669,       2.934119848,     -0.1387336303,       5.129998241
          0,           0,          18,      -2.394633882,     0.01909641889,     -0.1269467016,       3.011275346,     -0.1917792563,       5.100221414
          0,           0,          19,      -2.407597751,    -0.02134079677,     -0.1072868915,       2.990330714,     -0.2469545011,       5.051304441
          0,           0,          20,      -2.377394246,    -0.04117124532,     -0.1279292098,        3.01561429,     -0.3050999527,       5.101253107
