"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -2.143155611,      -11.66192929,      -12.04997545,       3.247319337,       6.413381568,       9.867474077
          0,           0,           1,      -2.166987663,     0.09331646949,      0.2789802705,       3.212995972,       5.813230094,       9.267489113
          0,           0,           2,      -2.217927668,      0.1320255833,      0.2704037142,       3.133609526,       5.213602425,       8.668080217
          0,           0,           3,      -2.237518379,     0.09724330203,      0.1846308265,       3.107680417,       4.614432066,       8.069244614
          0,           0,           4,       -2.28315812,     0.07702828366,     0.05817314909,       3.068766698,       4.015224079,       7.471455356
          0,           0,           5,       -2.32692994,      0.1608081463,    -0.02457426738,       3.046303088,       3.415640445,       6.888118329
          0,           0,           6,      -2.364845442,      0.1127458615,      -0.161839905,       3.027907282,       2.816888393,       6.434721413
          0,           0,           7,      -2.468152013,     0.01402432112,     -0.2433093832,       2.908430286,       2.215877896,       6.265481632
          0,           0,           8,      -2.571328315,   -0.008567238865,     -0.2068288973,       2.813499137,       1.610418945,       6.199774768
          0,           0,           9,      -2.554515764,    0.004957390165,     -0.2132056445,       2.834468599,       1.188289341,       6.152983965
          0,           0,          10,      -2.583786898,    -0.05960410926,     -0.2203353944,       2.813414981,      0.7810536031,       6.084269301
          0,           0,          11,      -2.598787397,    -0.06510966647,     -0.1814507952,       2.798213719,        0.42150963,       5.972694964
          0,           0,          12,      -2.567150916,    -0.05436680124,     -0.1963450382,       2.826825586,      0.2198071413,        5.80573499
          0,           0,          13,      -2.541918297,     -0.1148036252,     -0.2330764663,       2.863028478,      0.1393828144,        5.56811363
          0,           0,          14,      -2.493233945,     -0.1528367852,      -0.231163803,       2.914136359,     0.03225213262,       5.281994554
          0,           0,          15,      -2.454384889,    -0.07107657294,     -0.1987168257,        2.94300275,     -0.1319276761,        5.03630441
          0,           0,          16,      -2.506762606,     -0.1492771193,     -0.2500997973,       2.876879158,     -0.1512017703,       5.091621927
          0,           0,          17,      -2.538102006,      -0.156005011,     -0.2409155284,       2.828347974,     -0.1805123555,       5.181093765
          0,           0,          18,        -2.5071398,     -0.1033352701,     -0.2210455595,       2.856298454,     -0.2236519433,       5.190076658
          0,           0,          19,      -2.495848647,     -0.1088534278,     -0.1877575498,       2.862668856,     -0.2904054044,       5.007332137
          0,           0,          20,      -2.447902118,     -0.1140294415,     -0.1735669428,       2.910828225,     -0.3737839178,       4.962529973
          0,           0,          21,      -2.388314082,    -0.04359226678,     -0.1475090557,       2.963403694,     -0.4734563796,       5.090320872
          0,           0,          22,      -2.355247295,    -0.06097109115,     -0.1038782796,       2.987973275,     -0.5590533991,       5.144985101
          0,           0,          23,      -2.342147007,    -0.05440127984,    -0.06983368288,       2.980946401,     -0.6502489981,       4.974766653
          0,           0,          24,      -2.357155366,    -0.08631945597,    -0.07301029937,       2.950479308,     -0.6624750104,       5.035540003
          0,           0,          25,      -2.345163977,    -0.03852284349,    -0.06965475136,       2.957296809,     -0.6709744722,       5.062794223
          0,           0,          26,      -2.341165862,    -0.09893843832,    -0.07827512876,       2.954680915,     -0.7037832463,       5.061803806
          0,           0,          27,      -2.321693663,    -0.09260726647,    -0.06070620257,       2.971483329,     -0.7105519733,       5.008066794
          0,           0,          28,      -2.295216265,    -0.08084666236,    -0.03697564672,       2.994889232,     -0.6277155954,       4.861549648
          0,           0,          29,       -2.26604574,    -0.06370901791,    -0.01284660235,       3.020165925,     -0.3284530186,       5.111175897
          0,           0,          30,      -2.236043673,   -0.004773476608,    0.005945413389,       3.051784568,     -0.6503744257,       4.792206476
          0,           0,          31,      -2.241982099,    -0.07054975298,      -0.003389317,        3.03734631,     -0.9028852423,       4.786976462
          0,           0,          32,      -2.237051715,      -0.104646348,    -0.01379570224,       3.038334707,     -0.8240705632,       4.958558553
          0,           0,          33,      -2.220701438,    -0.07357148373,    -0.02683245796,       3.057687644,     -0.6532121531,       5.041231399
          0,           0,          34,      -2.205525878,    -0.08109640643,    -0.03747538963,       3.074049456,     -0.4121994686,       4.993501921
          0,           0,          35,      -2.189360463,    -0.04890466682,    -0.02680105621,       3.093795917,     -0.1388213894,       4.835375412
          0,           0,          36,      -2.176463377,     0.02736617502,   0.0006082873817,       3.115497926,      0.1393139412,       4.916863231
          0,           0,          37,      -2.184467368,      0.1178571638,     0.01137176476,       3.119861084,     -0.3611223657,       4.842106305
          0,           0,          38,      -2.189634286,     0.08119071758,   -0.004381748993,       3.105511355,      -0.659472467,       4.915630084
          0,           0,          39,      -2.190149247,     0.06603205285,    -0.02059254239,       3.099355072,     -0.4814338155,       4.785675715
          0,           0,          40,       -2.18525736,     0.06770391219,    -0.04257416146,       3.103537422,     -0.2724524965,       4.672889501
          0,           0,          41,       -2.17806284,     0.08222019019,    -0.04993010013,        3.11336642,    -0.06446915146,       4.822327515
          0,           0,          42,      -2.174771856,      0.1024625787,    -0.03511079372,       3.119710249,       0.111133126,       4.633097142
          0,           0,          43,      -2.176926832,      0.1111686997,    -0.01463521495,       3.119343115,      0.1446862301,       4.763136492
          0,           0,          44,      -2.178174585,     0.09402910173,    0.009692137117,       3.116117789,      -0.596657449,        4.68619743
