"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
0, 1.000000000000000e+00, 3.300000000000000e-03, 3.603310899675560e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.375754952311936e+04, 1.000000000000000e-10, 1.404261989295748e+09
1, 1.000000000000000e+00, -2.200000000000000e-03, 3.594901846362456e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.549923108142069e+04, 1.000000000000000e-10, 1.441174781787657e+09
6, 9.970624071000000e-01, 3.890565800000000e-03, 3.710624283630042e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.872403354472468e+04, 1.000000000000000e-10, 1.414649033123253e+09
7, 9.941250122000000e-01, 4.482116400000000e-03, 3.835568357987116e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.080912717232102e+04, 1.000000000000000e-10, 1.365038398515461e+09
8, 9.911863511000000e-01, 5.067337600000000e-03, 3.883672959012798e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.057307750090178e+04, 1.000000000000000e-10, 1.331213798354528e+09
9, 9.882453375000000e-01, 5.640619800000000e-03, 3.910963865619514e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.953362361755643e+04, 1.000000000000000e-10, 1.298859242317545e+09
10, 9.853025951000000e-01, 6.204961100000000e-03, 3.948409466542773e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.880198196331302e+04, 1.000000000000000e-10, 1.265678884502605e+09
11, 9.823582610000000e-01, 6.760941000000000e-03, 3.987395560999246e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.847949047180012e+04, 1.000000000000000e-10, 1.238602418049370e+09
12, 9.794123284000000e-01, 7.308384000000000e-03, 4.018261757021898e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.837479640252328e+04, 1.000000000000000e-10, 1.219852723228127e+09
13, 9.764641925999999e-01, 7.843832699999999e-03, 4.033788198580425e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.828916766467186e+04, 1.000000000000000e-10, 1.210087496875037e+09
14, 9.735146296000000e-01, 8.371372199999999e-03, 4.034904187155950e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.813469145734305e+04, 1.000000000000000e-10, 1.207223214356292e+09
