"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
0, 1.000000000000000e+00, 3.300000000000000e-03, 3.651963033128929e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.320435138169696e+04, 1.000000000000000e-10, 1.360893498836431e+09
1, 1.000000000000000e+00, -2.200000000000000e-03, 3.716338198519069e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.531331026545922e+04, 1.000000000000000e-10, 1.354099158736016e+09
6, 9.970624071000000e-01, 3.890565800000000e-03, 3.779724435967123e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.760165295513126e+04, 1.000000000000000e-10, 1.350373976844666e+09
7, 9.941250122000000e-01, 4.482116400000000e-03, 3.925092393411765e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.030472782861104e+04, 1.000000000000000e-10, 1.301904705310433e+09
8, 9.911863511000000e-01, 5.067337600000000e-03, 3.966865258308296e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.026564584615537e+04, 1.000000000000000e-10, 1.276709503696182e+09
9, 9.882453375000000e-01, 5.640619800000000e-03, 3.992091351855622e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.940631119674991e+04, 1.000000000000000e-10, 1.249602684645955e+09
10, 9.853025951000000e-01, 6.204961100000000e-03, 4.029604066909987e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.880753535336962e+04, 1.000000000000000e-10, 1.219858357848573e+09
11, 9.823582610000000e-01, 6.760941000000000e-03, 4.072275672363642e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.860873880546915e+04, 1.000000000000000e-10, 1.193913752906377e+09
12, 9.794123284000000e-01, 7.308384000000000e-03, 4.107044529774266e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.859500157789266e+04, 1.000000000000000e-10, 1.175386829250039e+09
13, 9.764641925999999e-01, 7.843832699999999e-03, 4.126983537709437e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.859504140851220e+04, 1.000000000000000e-10, 1.165059745537046e+09
14, 9.735146296000000e-01, 8.371372199999999e-03, 4.134533707519292e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.855984770072917e+04, 1.000000000000000e-10, 1.160680083066730e+09
15, 9.705649844999999e-01, 8.898453400000001e-03, 4.134149799768551e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.847686395248224e+04, 1.000000000000000e-10, 1.159719489059590e+09
16, 9.676163612000001e-01, 9.431218700000001e-03, 4.130032968652438e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.837307644600136e+04, 1.000000000000000e-10, 1.160377949930277e+09
17, 9.646681685000000e-01, 9.966365099999999e-03, 4.124773243023915e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.827250631991164e+04, 1.000000000000000e-10, 1.161663630912496e+09
18, 9.617190649000000e-01, 1.049646250000000e-02, 4.119841279195839e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.819041496554141e+04, 1.000000000000000e-10, 1.163083070346643e+09
19, 9.587677714000000e-01, 1.101421520000000e-02, 4.115202939231353e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.811990911955043e+04, 1.000000000000000e-10, 1.164482248417022e+09
20, 9.558141732000000e-01, 1.151866560000000e-02, 4.110710821413109e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.804702069466801e+04, 1.000000000000000e-10, 1.165772059992255e+09
21, 9.528595023999999e-01, 1.201680390000000e-02, 4.109278461408493e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.802589874762137e+04, 1.000000000000000e-10, 1.166214965995497e+09
22, 9.499050355999999e-01, 1.251614840000000e-02, 4.103199068775176e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.790119470688836e+04, 1.000000000000000e-10, 1.167557283015761e+09
23, 9.469515835000000e-01, 1.302146080000000e-02, 4.098847527134217e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.780376899980758e+04, 1.000000000000000e-10, 1.168455333374826e+09
24, 9.439982552000000e-01, 1.352749770000000e-02, 4.094369922579786e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.768812673508152e+04, 1.000000000000000e-10, 1.169166195173510e+09
25, 9.410437731000000e-01, 1.402674480000000e-02, 4.091566565003233e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.760098028515599e+04, 1.000000000000000e-10, 1.169385679649647e+09
26, 9.380870172000000e-01, 1.451233270000000e-02, 4.089258262505164e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.753366026672491e+04, 1.000000000000000e-10, 1.169627936690346e+09
27, 9.351283061000000e-01, 1.498587720000000e-02, 4.087175454792648e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.747936280198507e+04, 1.000000000000000e-10, 1.169934482357989e+09
28, 9.321688618000000e-01, 1.545482400000000e-02, 4.085533864673557e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.742995426609252e+04, 1.000000000000000e-10, 1.170085518541070e+09
29, 9.292098398000000e-01, 1.592642560000000e-02, 4.084769326693085e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.739669481796568e+04, 1.000000000000000e-10, 1.170009130844568e+09
30, 9.262511042000000e-01, 1.639982330000000e-02, 4.086136583292337e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.742042459240033e+04, 1.000000000000000e-10, 1.169620618838540e+09
31, 9.232923687000000e-01, 1.687322100000000e-02, 4.083077404067803e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.736065917930452e+04, 1.000000000000000e-10, 1.170371272462683e+09
32, 9.203336331000000e-01, 1.734661870000000e-02, 4.072322929950993e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.714522217903635e+04, 1.000000000000000e-10, 1.172897917613964e+09
33, 9.173752952000001e-01, 1.782249320000000e-02, 4.064815661390279e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.700820492337755e+04, 1.000000000000000e-10, 1.174882475188332e+09
34, 9.144172403000000e-01, 1.830012520000000e-02, 4.060123894210733e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.691523219733285e+04, 1.000000000000000e-10, 1.176035254503067e+09
35, 9.114582624000001e-01, 1.877199790000000e-02, 4.057053403218150e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.684642437330230e+04, 1.000000000000000e-10, 1.176661076885949e+09
36, 9.084972381000000e-01, 1.923083950000000e-02, 4.055593643305807e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.680876186585888e+04, 1.000000000000000e-10, 1.176886186503803e+09
37, 9.055342297000000e-01, 1.967670440000000e-02, 4.055243731509185e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.679439726046121e+04, 1.000000000000000e-10, 1.176862757313782e+09
38, 9.025703724000000e-01, 2.011689840000000e-02, 4.055765837207025e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.679088031772888e+04, 1.000000000000000e-10, 1.176507568938273e+09
39, 8.996067964000000e-01, 2.055898050000000e-02, 4.056973738053180e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.679565503501835e+04, 1.000000000000000e-10, 1.175937762800869e+09
40, 8.966435791000000e-01, 2.100346310000000e-02, 4.059609136738592e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.683615243390562e+04, 1.000000000000000e-10, 1.175132416908724e+09
41, 8.936803618000000e-01, 2.144794570000000e-02, 4.061313235933200e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.687333898128560e+04, 1.000000000000000e-10, 1.174771651369847e+09
42, 8.907171444000000e-01, 2.189242830000000e-02, 4.061241416623687e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.687189181889661e+04, 1.000000000000000e-10, 1.174788591986579e+09
43, 8.877539271000000e-01, 2.233691090000000e-02, 4.059259077000839e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.683830721193465e+04, 1.000000000000000e-10, 1.175348612410294e+09
44, 8.847907098000000e-01, 2.278139350000000e-02, 4.053202481250483e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.672354063750230e+04, 1.000000000000000e-10, 1.176904701063857e+09
45, 8.818274925000000e-01, 2.322587610000000e-02, 4.050218092494956e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.666558055402491e+04, 1.000000000000000e-10, 1.177643209323624e+09
46, 8.788643591999999e-01, 2.367091770000000e-02, 4.041817851018123e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.649868698619769e+04, 1.000000000000000e-10, 1.179652832072139e+09
47, 8.759017882000000e-01, 2.411968790000000e-02, 4.034551235086242e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.635426635751674e+04, 1.000000000000000e-10, 1.181446111634504e+09
