"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
0, 1.000000000000000e+00, 3.300000000000000e-03, 3.667242742912869e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.395151729320964e+04, 1.000000000000000e-10, 1.363599385111906e+09
1, 1.000000000000000e+00, -2.200000000000000e-03, 3.728713152402691e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.518411018842702e+04, 1.000000000000000e-10, 1.343809592541548e+09
6, 9.970624071000000e-01, 3.890565800000000e-03, 4.146139196955783e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.220258297083178e+04, 1.000000000000000e-10, 1.204718763531271e+09
7, 9.941250122000000e-01, 4.482116400000000e-03, 4.244500227631156e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.383268866855603e+04, 1.000000000000000e-10, 1.175730862698799e+09
8, 9.911863511000000e-01, 5.067337600000000e-03, 4.113354579915125e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.141805102897585e+04, 1.000000000000000e-10, 1.211432488593046e+09
9, 9.882453375000000e-01, 5.640619800000000e-03, 4.050922803727103e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.016459864127813e+04, 1.000000000000000e-10, 1.227690620251847e+09
10, 9.853025951000000e-01, 6.204961100000000e-03, 4.076215105848655e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.043355024029793e+04, 1.000000000000000e-10, 1.217627270768581e+09
11, 9.823582610000000e-01, 6.760941000000000e-03, 4.110183483342784e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.085628535218381e+04, 1.000000000000000e-10, 1.205318892026018e+09
12, 9.794123284000000e-01, 7.308384000000000e-03, 4.107622726793125e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.066234351261672e+04, 1.000000000000000e-10, 1.203996025209052e+09
13, 9.764641925999999e-01, 7.843832699999999e-03, 4.087578880862920e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.019352703436186e+04, 1.000000000000000e-10, 1.208159579887850e+09
14, 9.735146296000000e-01, 8.371372199999999e-03, 4.083027851122709e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.001834650034625e+04, 1.000000000000000e-10, 1.208126359959074e+09
15, 9.705649844999999e-01, 8.898453400000001e-03, 4.085592894971126e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.998677995447116e+04, 1.000000000000000e-10, 1.206305167841721e+09
16, 9.676163612000001e-01, 9.431218700000001e-03, 4.086324204919838e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.994104762451317e+04, 1.000000000000000e-10, 1.205269770289005e+09
17, 9.646681685000000e-01, 9.966365099999999e-03, 4.080301844113338e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.979588460429554e+04, 1.000000000000000e-10, 1.206449734893241e+09
18, 9.617190649000000e-01, 1.049646250000000e-02, 4.069059206356946e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.957482242253782e+04, 1.000000000000000e-10, 1.209411650206320e+09
19, 9.587677714000000e-01, 1.101421520000000e-02, 4.054944265850289e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.931440561151416e+04, 1.000000000000000e-10, 1.213348866608048e+09
20, 9.558141732000000e-01, 1.151866560000000e-02, 4.042153427789514e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.908168129262415e+04, 1.000000000000000e-10, 1.216982138828382e+09
21, 9.528595023999999e-01, 1.201680390000000e-02, 4.037123758284961e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.898311130349811e+04, 1.000000000000000e-10, 1.218316406544963e+09
22, 9.499050355999999e-01, 1.251614840000000e-02, 4.036936201286407e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.896751649844444e+04, 1.000000000000000e-10, 1.218147592785219e+09
23, 9.469515835000000e-01, 1.302146080000000e-02, 4.034790063887863e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.891812860759321e+04, 1.000000000000000e-10, 1.218631899748969e+09
24, 9.439982552000000e-01, 1.352749770000000e-02, 4.024544145050090e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.872944897175521e+04, 1.000000000000000e-10, 1.221561641832580e+09
25, 9.410437731000000e-01, 1.402674480000000e-02, 4.006384058132329e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.840369114806403e+04, 1.000000000000000e-10, 1.226869745954358e+09
26, 9.380870172000000e-01, 1.451233270000000e-02, 3.993967226616117e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.817399533755689e+04, 1.000000000000000e-10, 1.230421666810132e+09
