Results_Name,WaveDrag
Results_Timestamp,1785881974
Results_Date,8,4,2026
Results_Time,23,19,34
Ambiguous_Subsurf_Flag,0
Analysis_Duration_Sec,1.213999999999999968e+00
CDWave,1.159560162564780450e+00
End_X,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01
Exit_Area,0.000000000000000000e+00
Inlet_Area,0.000000000000000000e+00
Length,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01
Mach,1.000000000000000000e+00
MaxArea,4.357762960477077030e+01,4.357762960477082714e+01,4.357762959773658196e+01,4.357762959070942799e+01,4.357762959071337860e+01,4.357762959774007072e+01,4.357762959773766909e+01,4.357762960477117531e+01,4.357762960476559755e+01,4.357762960476603098e+01,4.357762960476412673e+01,4.357762960476208747e+01,4.357762960476600966e+01,4.357762960477248271e+01,4.357762960476319591e+01,4.357762960476704706e+01
Mesh_GeomID,ZWBYVUNUZF
Num_Cone_Sections,16
Num_Slices,60
Set_Name,All
Slice_Area,3.661668594134688218e-06,1.388078190058880557e+00,2.443433104240834375e+00,4.682627555203587200e+00,5.770140502531113214e+00,8.091897014104436181e+00,1.062326617797977057e+01,1.202998503951447873e+01,1.351203099028320764e+01,1.648742511604686811e+01,1.894335244070671465e+01,2.015485425221558202e+01,2.264269446535710273e+01,2.591620617486678668e+01,2.827420080319818396e+01,2.889363492776026376e+01,2.889363492776026376e+01,2.889363492776023890e+01,2.889363492776024245e+01,2.889363492776025311e+01,2.889363492776027087e+01,2.889363492776026021e+01,2.889363492776025666e+01,2.889363492776026376e+01,2.889363492776026021e+01,2.889363492776023534e+01,2.889363492776028508e+01,2.889363492776026021e+01,3.058641180770292323e+01,3.357380443847225138e+01,3.679146198993688444e+01,3.982410972966876272e+01,4.231202049982510971e+01,4.351637090322029877e+01,4.260958610920220480e+01,3.894453946692735968e+01,3.808179807470682476e+01,3.398145544492831505e+01,3.186654307909730122e+01,3.072128255005940645e+01,2.911930198000589343e+01,2.666295799059082228e+01,2.432806498266476680e+01,2.039896568197582738e+01,1.475924073353660759e+01,1.236751946854825590e+01,1.208936719343966004e+01,1.200903165449586396e+01,1.150444323597278995e+01,1.068952893988461383e+01,9.683588281388374241e+00,8.810753723579221486e+00,8.577434365361243707e+00,9.042317130385852053e+00,9.364126458634316919e+00,8.736992988820356132e+00,7.248455359218270111e+00,4.496721490666216070e+00,1.350261371573090008e+00,1.821456159743463207e-06
Slice_Area,3.661668594134688641e-06,1.388078190058881001e+00,2.443433104240834819e+00,4.682627555203588976e+00,5.770140502531112325e+00,8.091897014104436181e+00,1.062326617797976880e+01,1.202998503951448050e+01,1.351203099028319876e+01,1.648742511604686811e+01,1.894335244070673241e+01,2.015485425221557136e+01,2.264269446535710628e+01,2.591620617486682576e+01,2.827420080319818751e+01,2.889363492776026376e+01,2.889363492776025311e+01,2.889363492776025666e+01,2.889363492776026021e+01,2.889363492776027442e+01,2.889363492776027798e+01,2.889363492776024245e+01,2.889363492776025666e+01,2.889363492776026376e+01,2.889363492776026732e+01,2.889363492776026021e+01,2.889363492776025311e+01,2.889363492776025666e+01,3.058641180770292323e+01,3.357380443847225848e+01,3.679146198993689865e+01,3.982410972966881957e+01,4.231202049982506708e+01,4.351637090322034140e+01,4.260958610920218348e+01,3.894453946692735258e+01,3.808179807470687450e+01,3.398145544492835057e+01,3.186654307909733674e+01,3.072128255005941355e+01,2.911930198000590408e+01,2.666295799059081872e+01,2.432806498266476680e+01,2.039896568197582027e+01,1.475924073353661825e+01,1.236751946854824880e+01,1.208936719343966182e+01,1.200903165449587284e+01,1.150444323597277219e+01,1.068952893988460495e+01,9.683588281388370689e+00,8.810753723579201946e+00,8.577434365361249036e+00,9.042317130385860935e+00,9.364126458634316919e+00,8.736992988820365014e+00,7.248455359218270999e+00,4.496721490666216070e+00,1.350261371573090674e+00,1.821456159743463419e-06
Slice_Area,3.661668594134688641e-06,1.388078190058881001e+00,2.443433104240835263e+00,4.682627555203588976e+00,5.770140502531114990e+00,8.091897014104432628e+00,1.062326617797976880e+01,1.202998503951448228e+01,1.351203099028320054e+01,1.648742511604687522e+01,1.894335244070673241e+01,2.015485425221557847e+01,2.264269446535709207e+01,2.591620617486679734e+01,2.827420080319819462e+01,2.889363492776024955e+01,2.889363492776026021e+01,2.889363492776026021e+01,2.889363492776025311e+01,2.889363492776027442e+01,2.889363492776028153e+01,2.889363492776026021e+01,2.889363492776026376e+01,2.889363492776026732e+01,2.889363492776026732e+01,2.889363492776026732e+01,2.889363492776027798e+01,2.889363492776028153e+01,3.058641180770293744e+01,3.357380443847224427e+01,3.679146198993687733e+01,3.982410972966877694e+01,4.231202049982510260e+01,4.351637090322030588e+01,4.260958610920214795e+01,3.894453946692735258e+01,3.808179807470688871e+01,3.398145544492831505e+01,3.186654307909730477e+01,3.072128255005941000e+01,2.911930198000587922e+01,2.666295799059080096e+01,2.432806498266474193e+01,2.039896568197580962e+01,1.475924073353660049e+01,1.236751946854826123e+01,1.208936719343966537e+01,1.200900833607420459e+01,1.150444323597278284e+01,1.068952893988461028e+01,9.683588281388377794e+00,8.810753723579217933e+00,8.577434365361249036e+00,9.042317130385853829e+00,9.364126458634316919e+00,8.736992988820350803e+00,7.248455359218270999e+00,4.496721490666215182e+00,1.350261371573090674e+00,1.821456159743462996e-06
Slice_Area,3.661668594134688641e-06,1.388078190058881223e+00,2.443433104240835263e+00,4.682627555203589864e+00,5.770140502531113214e+00,8.091897014104434405e+00,1.062326617797976880e+01,1.202998503951448228e+01,1.351203099028319876e+01,1.648742511604686811e+01,1.894335244070673596e+01,2.015485425221557847e+01,2.264269446535710628e+01,2.591620617486679379e+01,2.827420080319818751e+01,2.889363492776025666e+01,2.889363492776026376e+01,2.889363492776025311e+01,2.889363492776026376e+01,2.889363492776026376e+01,2.889363492776026732e+01,2.889363492776026376e+01,2.889363492776027442e+01,2.889363492776026732e+01,2.889363492776027798e+01,2.889363492776026376e+01,2.889363492776027442e+01,2.889363492776027798e+01,3.058641180770292678e+01,3.357380443847225138e+01,3.679146198993689865e+01,3.982410972966878404e+01,4.231202049982508839e+01,4.351637090322034140e+01,4.260958610920214795e+01,3.894453946692733126e+01,3.808179807470686029e+01,3.398145544492832926e+01,3.186654307909731543e+01,3.072128255005941355e+01,2.911930198000589343e+01,2.666295799059083294e+01,2.432806498266476325e+01,2.039896568197582383e+01,1.475924073353659871e+01,1.236751946854826123e+01,1.208936719343967248e+01,1.200898501765253812e+01,1.150444323597278462e+01,1.068952893988461028e+01,9.683588281388372465e+00,8.810753723579214380e+00,8.577434365361247259e+00,9.042317130385844948e+00,9.364126458634316919e+00,8.736992988820350803e+00,7.248455359218273664e+00,4.496721490666215182e+00,1.350261371573090674e+00,1.821456159743463207e-06
Slice_Area,3.661668594134688641e-06,1.388078190058881445e+00,2.443433104240835707e+00,4.682627555203588976e+00,5.770140502531112325e+00,8.091897014104436181e+00,1.062326617797977057e+01,1.202998503951448050e+01,1.351203099028319699e+01,1.648742511604687166e+01,1.894335244070673951e+01,2.015485425221557136e+01,2.264269446535710628e+01,2.591620617486678313e+01,2.827420080319818751e+01,2.889363492776026376e+01,2.889363492776027442e+01,2.889363492776025666e+01,2.889363492776026021e+01,2.889363492776026732e+01,2.889363492776027798e+01,2.889363492776026732e+01,2.889363492776027087e+01,2.889363492776026732e+01,2.889363492776027442e+01,2.889363492776025311e+01,2.889363492776026376e+01,2.889363492776027442e+01,3.058641180770291257e+01,3.357380443847227269e+01,3.679146198993688444e+01,3.982410972966876983e+01,4.231202049982509550e+01,4.351637090322032009e+01,4.260958610920218348e+01,3.894453946692733837e+01,3.808179807470686740e+01,3.398145544492834347e+01,3.186654307909730477e+01,3.072128255005941355e+01,2.911930198000589698e+01,2.666295799059083649e+01,2.432806498266476680e+01,2.039896568197580606e+01,1.475924073353660226e+01,1.236751946854825945e+01,1.208936719343966715e+01,1.200898501765254167e+01,1.150444323597278995e+01,1.068952893988461916e+01,9.683588281388374241e+00,8.810753723579216157e+00,8.577434365361252588e+00,9.042317130385848500e+00,9.364126458634322248e+00,8.736992988820356132e+00,7.248455359218270999e+00,4.496721490666215182e+00,1.350261371573090674e+00,1.821456159743463207e-06
Slice_Area,3.661668594134688218e-06,1.388078190058881223e+00,2.443433104240835263e+00,4.682627555203588088e+00,5.770140502531113214e+00,8.091897014104434405e+00,1.062326617797977057e+01,1.202998503951448228e+01,1.351203099028319876e+01,1.648742511604686811e+01,1.894335244070673241e+01,2.015485425221557492e+01,2.264269446535710628e+01,2.591620617486677958e+01,2.827420080319819462e+01,2.889363492776026021e+01,2.889363492776027087e+01,2.889363492776026021e+01,2.889363492776025666e+01,2.889363492776026376e+01,2.889363492776026021e+01,2.889363492776024955e+01,2.889363492776025311e+01,2.889363492776025666e+01,2.889363492776026376e+01,2.889363492776024955e+01,2.889363492776024955e+01,2.889363492776026732e+01,3.058641180770291612e+01,3.357380443847227269e+01,3.679146198993686312e+01,3.982410972966874851e+01,4.231202049982504576e+01,4.351637090322032009e+01,4.260958610920215506e+01,3.894453946692733837e+01,3.808179807470686029e+01,3.398145544492829373e+01,3.186654307909731543e+01,3.072128255005941355e+01,2.911930198000588987e+01,2.666295799059082583e+01,2.432806498266478457e+01,2.039896568197583449e+01,1.475924073353659871e+01,1.236751946854825590e+01,1.208936719343966359e+01,1.200900833607420637e+01,1.150444323597279173e+01,1.068952893988460850e+01,9.683588281388370689e+00,8.810753723579214380e+00,8.577434365361234825e+00,9.042317130385850277e+00,9.364126458634315142e+00,8.736992988820359685e+00,7.248455359218273664e+00,4.496721490666215182e+00,1.350261371573090230e+00,1.821456159743463419e-06
Slice_Area,3.661668594134688641e-06,1.388078190058880779e+00,2.443433104240835263e+00,4.682627555203588088e+00,5.770140502531114990e+00,8.091897014104432628e+00,1.062326617797976525e+01,1.202998503951448050e+01,1.351203099028320231e+01,1.648742511604686456e+01,1.894335244070673596e+01,2.015485425221558202e+01,2.264269446535709918e+01,2.591620617486677958e+01,2.827420080319820883e+01,2.889363492776027442e+01,2.889363492776026021e+01,2.889363492776027442e+01,2.889363492776027087e+01,2.889363492776029219e+01,2.889363492776028863e+01,2.889363492776025666e+01,2.889363492776025666e+01,2.889363492776026732e+01,2.889363492776029219e+01,2.889363492776027087e+01,2.889363492776032416e+01,2.889363492776031350e+01,3.058641180770297652e+01,3.357380443847228690e+01,3.679146198993692707e+01,3.982410972966883378e+01,4.231202049982512392e+01,4.351637090322029167e+01,4.260958610920216927e+01,3.894453946692735258e+01,3.808179807470686740e+01,3.398145544492832215e+01,3.186654307909733674e+01,3.072128255005938868e+01,2.911930198000589698e+01,2.666295799059078675e+01,2.432806498266474904e+01,2.039896568197580606e+01,1.475924073353661470e+01,1.236751946854826834e+01,1.208936719343966182e+01,1.200900833607419749e+01,1.150444323597278107e+01,1.068952893988460673e+01,9.683588281388397334e+00,8.810753723579219709e+00,8.577434365361252588e+00,9.042317130385864488e+00,9.364126458634327577e+00,8.736992988820357908e+00,7.248455359218262117e+00,4.496721490666208965e+00,1.350261371573090674e+00,1.821456159743463419e-06
Slice_Area,3.661668594134688641e-06,1.388078190058880779e+00,2.443433104240835263e+00,4.682627555203588088e+00,5.770140502531111437e+00,8.091897014104436181e+00,1.062326617797976880e+01,1.202998503951448050e+01,1.351203099028320231e+01,1.648742511604686101e+01,1.894335244070672886e+01,2.015485425221557492e+01,2.264269446535710628e+01,2.591620617486679734e+01,2.827420080319815909e+01,2.889363492776026732e+01,2.889363492776026732e+01,2.889363492776024245e+01,2.889363492776022824e+01,2.889363492776027442e+01,2.889363492776024600e+01,2.889363492776024245e+01,2.889363492776025666e+01,2.889363492776026376e+01,2.889363492776027087e+01,2.889363492776024600e+01,2.889363492776028508e+01,2.889363492776026376e+01,3.058641180770291612e+01,3.357380443847227269e+01,3.679146198993691996e+01,3.982410972966879115e+01,4.231202049982509550e+01,4.351637090322028456e+01,4.260958610920213374e+01,3.894453946692731705e+01,3.808179807470685319e+01,3.398145544492832215e+01,3.186654307909730122e+01,3.072128255005938513e+01,2.911930198000589343e+01,2.666295799059079030e+01,2.432806498266477391e+01,2.039896568197582027e+01,1.475924073353661470e+01,1.236751946854825768e+01,1.208936719343965294e+01,1.200903165449585508e+01,1.150444323597278284e+01,1.068952893988460318e+01,9.683588281388360031e+00,8.810753723579207275e+00,8.577434365361250812e+00,9.042317130385862711e+00,9.364126458634324024e+00,8.736992988820361461e+00,7.248455359218274552e+00,4.496721490666211629e+00,1.350261371573090674e+00,1.821456159743463207e-06
Slice_Area,3.661668594134688218e-06,1.388078190058880779e+00,2.443433104240835263e+00,4.682627555203588088e+00,5.770140502531114102e+00,8.091897014104432628e+00,1.062326617797977413e+01,1.202998503951448228e+01,1.351203099028320231e+01,1.648742511604687877e+01,1.894335244070671820e+01,2.015485425221556781e+01,2.264269446535711339e+01,2.591620617486681510e+01,2.827420080319818751e+01,2.889363492776025666e+01,2.889363492776027798e+01,2.889363492776024600e+01,2.889363492776026376e+01,2.889363492776027087e+01,2.889363492776027087e+01,2.889363492776024600e+01,2.889363492776025311e+01,2.889363492776025666e+01,2.889363492776026376e+01,2.889363492776023890e+01,2.889363492776027087e+01,2.889363492776026376e+01,3.058641180770292323e+01,3.357380443847228690e+01,3.679146198993695549e+01,3.982410972966881246e+01,4.231202049982510260e+01,4.351637090322024903e+01,4.260958610920216927e+01,3.894453946692737389e+01,3.808179807470686740e+01,3.398145544492833636e+01,3.186654307909732253e+01,3.072128255005941000e+01,2.911930198000592185e+01,2.666295799059080451e+01,2.432806498266477035e+01,2.039896568197579541e+01,1.475924073353662003e+01,1.236751946854826656e+01,1.208936719343965649e+01,1.200903165449585153e+01,1.150444323597278107e+01,1.068952893988462272e+01,9.683588281388384900e+00,8.810753723579219709e+00,8.577434365361254365e+00,9.042317130385852053e+00,9.364126458634309813e+00,8.736992988820363237e+00,7.248455359218271887e+00,4.496721490666225840e+00,1.350261371573088898e+00,1.821456159743463207e-06
Slice_Area,3.661668594134687794e-06,1.388078190058880779e+00,2.443433104240834819e+00,4.682627555203588088e+00,5.770140502531114102e+00,8.091897014104418417e+00,1.062326617797978301e+01,1.202998503951448939e+01,1.351203099028318100e+01,1.648742511604686811e+01,1.894335244070669688e+01,2.015485425221558202e+01,2.264269446535709207e+01,2.591620617486676181e+01,2.827420080319814488e+01,2.889363492776022468e+01,2.889363492776023534e+01,2.889363492776026021e+01,2.889363492776026021e+01,2.889363492776026732e+01,2.889363492776026732e+01,2.889363492776021758e+01,2.889363492776022113e+01,2.889363492776022468e+01,2.889363492776024600e+01,2.889363492776021758e+01,2.889363492776024600e+01,2.889363492776023890e+01,3.058641180770289125e+01,3.357380443847224427e+01,3.679146198993693417e+01,3.982410972966876983e+01,4.231202049982505287e+01,4.351637090322019930e+01,4.260958610920223322e+01,3.894453946692734547e+01,3.808179807470685319e+01,3.398145544492832215e+01,3.186654307909732253e+01,3.072128255005937447e+01,2.911930198000589698e+01,2.666295799059081517e+01,2.432806498266472772e+01,2.039896568197580606e+01,1.475924073353663246e+01,1.236751946854825412e+01,1.208936719343965471e+01,1.200903165449585330e+01,1.150444323597279705e+01,1.068952893988461383e+01,9.683588281388395558e+00,8.810753723579219709e+00,8.577434365361243707e+00,9.042317130385868040e+00,9.364126458634327577e+00,8.736992988820368566e+00,7.248455359218270111e+00,4.496721490666227616e+00,1.350261371573094227e+00,1.821456159743463207e-06
