Results_Name,WaveDrag
Results_Timestamp,1785948362
Results_Date,8,5,2026
Results_Time,17,46,2
Ambiguous_Subsurf_Flag,0
Analysis_Duration_Sec,1.963000000000000078e+00
CDWave,1.491193034828677932e+00
End_X,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01,4.236517378042314164e+01
Exit_Area,0.000000000000000000e+00
Inlet_Area,0.000000000000000000e+00
Length,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01,4.236417378042314397e+01
Mach,1.000000000000000000e+00
MaxArea,5.218539040837232079e+01,5.218539040838695797e+01,5.218539040839518606e+01,5.218539040838778220e+01,5.218539040838115284e+01,5.218539040838285104e+01,5.218539040838167864e+01,5.218539040837999465e+01,5.218539040836917309e+01,5.218539040837154630e+01,5.218539040839482368e+01,5.218539040837020337e+01,5.218539040837716669e+01,5.218539040839703347e+01,5.218539040839229415e+01,5.218539040839230836e+01
Mesh_GeomID,MCLOTJMOAK
Num_Cone_Sections,16
Num_Slices,60
Set_Name,All
Slice_Area,5.776057103022488289e-06,1.397092537583536798e+00,4.169492487235341827e+00,7.463707679305736420e+00,9.868564899061489371e+00,1.339592846349090038e+01,1.622616751205193708e+01,1.844793263328113397e+01,2.183393593765400809e+01,2.294574544804973826e+01,2.508944887449879246e+01,2.684896443169413516e+01,2.736925190986471890e+01,2.812134282695885190e+01,2.875341706588151425e+01,2.889363492776026021e+01,2.889363492776027087e+01,2.889363492776027442e+01,2.889363492776026732e+01,2.889363492776024955e+01,2.889363492776024600e+01,2.889363492776026021e+01,2.889363492776026732e+01,2.889363492776025666e+01,2.963272474279415292e+01,3.051247620007594819e+01,3.306068251929238500e+01,3.600060443992718717e+01,3.699298080143193346e+01,4.025986177912287900e+01,4.408600806963024610e+01,4.730389561480230043e+01,4.992046812932581901e+01,5.169320510311332839e+01,5.206280695673905967e+01,5.012780153280098006e+01,5.037016043139622923e+01,4.540497700878532328e+01,4.336866722726330181e+01,3.939307065213914427e+01,3.526722800431033988e+01,3.271814588132174606e+01,3.015053728469677097e+01,2.722492354365565603e+01,2.128570188975754718e+01,1.555230149344059143e+01,1.386627869626554777e+01,1.246409424118452414e+01,1.162719689220391039e+01,1.152494311027102114e+01,1.097639215059520623e+01,9.726884331463956812e+00,8.902707338041352614e+00,9.089790812624190863e+00,8.937076327038687040e+00,7.794687018983908366e+00,6.407525374489525305e+00,4.360493979525347896e+00,1.361526322888619189e+00,1.821456159743463207e-06
Slice_Area,5.776057103022487442e-06,1.397092537583536798e+00,4.169492487235342715e+00,7.463707679305735532e+00,9.868564899061485818e+00,1.339592846349090394e+01,1.622616751205192998e+01,1.844793263328114463e+01,2.183393593765400453e+01,2.294574544804974536e+01,2.508944887449879957e+01,2.684896443169413516e+01,2.736925190986474021e+01,2.812134282695886611e+01,2.875341706588147161e+01,2.889363492776027798e+01,2.889363492776028863e+01,2.889363492776027087e+01,2.889363492776028508e+01,2.889363492776024955e+01,2.889363492776023534e+01,2.889363492776028153e+01,2.889363492776030284e+01,2.889363492776026732e+01,2.963272474279417423e+01,3.051247620007597661e+01,3.306068251929239210e+01,3.600060443992721559e+01,3.699298080143194056e+01,4.025986177912286479e+01,4.408600806963028162e+01,4.730389561480234306e+01,4.992046812932583322e+01,5.169320510311334260e+01,5.206280695673903125e+01,5.012780153280089479e+01,5.037016043139627897e+01,4.540497700878536591e+01,4.336866722726330892e+01,3.939307065213913717e+01,3.526722800431033278e+01,3.271814588132173895e+01,3.015053728469675676e+01,2.722492354365567024e+01,2.128570188975755428e+01,1.555230149344061452e+01,1.386627869626554599e+01,1.246409424118451881e+01,1.162719689220390507e+01,1.152494311027102647e+01,1.097639215059521511e+01,9.726884331463946154e+00,8.902707338041350837e+00,9.089790812624189087e+00,8.937076327038688817e+00,7.794687018983913696e+00,6.407525374489531522e+00,4.360493979525338126e+00,1.361526322888621410e+00,1.821456159743463419e-06
Slice_Area,5.776057103022489983e-06,1.397092537583536798e+00,4.169492487235345379e+00,7.463707679305734644e+00,9.868564899061487594e+00,1.339592846349090394e+01,1.622616751205193353e+01,1.844793263328113753e+01,2.183393593765399032e+01,2.294574544804972760e+01,2.508944887449879602e+01,2.684896443169415292e+01,2.736925190986470113e+01,2.812134282695883059e+01,2.875341706588152846e+01,2.889363492776026376e+01,2.889363492776027798e+01,2.889363492776026376e+01,2.889363492776026732e+01,2.889363492776027798e+01,2.889363492776024600e+01,2.889363492776023890e+01,2.889363492776025666e+01,2.889363492776020692e+01,2.963272474279412805e+01,3.051247620007592332e+01,3.306068251929234947e+01,3.600060443992720849e+01,3.699298080143197609e+01,4.025986177912282926e+01,4.408600806963023189e+01,4.730389561480232175e+01,4.992046812932582611e+01,5.169320510311337813e+01,5.206280695673901704e+01,5.012780153280090190e+01,5.037016043139626476e+01,4.540497700878530907e+01,4.336866722726331602e+01,3.939307065213915848e+01,3.526722800431032567e+01,3.271814588132170343e+01,3.015053728469675676e+01,2.722492354365568445e+01,2.128570188975754363e+01,1.555230149344060742e+01,1.386627869626554421e+01,1.246409424118452414e+01,1.162719689220390507e+01,1.152494311027101226e+01,1.097639215059521334e+01,9.726884331463951483e+00,8.902707338041361496e+00,9.089790812624192640e+00,8.937076327038688817e+00,7.794687018983903037e+00,6.407525374489528858e+00,4.360493979525345232e+00,1.361526322888621410e+00,1.821456159743462996e-06
Slice_Area,5.776057103022488289e-06,1.397092537583536798e+00,4.169492487235343603e+00,7.463707679305733755e+00,9.868564899061491147e+00,1.339592846349090216e+01,1.622616751205193353e+01,1.844793263328113397e+01,2.183393593765398677e+01,2.294574544804972760e+01,2.508944887449879246e+01,2.684896443169414582e+01,2.736925190986472245e+01,2.812134282695884480e+01,2.875341706588150004e+01,2.889363492776025311e+01,2.889363492776027087e+01,2.889363492776026376e+01,2.889363492776027442e+01,2.889363492776026732e+01,2.889363492776023179e+01,2.889363492776025311e+01,2.889363492776024955e+01,2.889363492776024245e+01,2.963272474279413160e+01,3.051247620007593753e+01,3.306068251929237789e+01,3.600060443992721559e+01,3.699298080143194767e+01,4.025986177912286479e+01,4.408600806963025320e+01,4.730389561480226490e+01,4.992046812932581190e+01,5.169320510311334971e+01,5.206280695673905257e+01,5.012780153280095163e+01,5.037016043139622923e+01,4.540497700878528065e+01,4.336866722726331602e+01,3.939307065213911585e+01,3.526722800431037541e+01,3.271814588132173185e+01,3.015053728469678163e+01,2.722492354365566314e+01,2.128570188975755784e+01,1.555230149344060564e+01,1.386627869626554599e+01,1.246409424118451881e+01,1.162719689220392105e+01,1.152494311027102114e+01,1.097639215059520623e+01,9.726884331463955036e+00,8.902707338041354390e+00,9.089790812624190863e+00,8.937076327038690593e+00,7.794687018983908366e+00,6.407525374489531522e+00,4.360493979525344344e+00,1.361526322888621188e+00,1.821456159743462996e-06
Slice_Area,5.776057103022488289e-06,1.397092537583537020e+00,4.169492487235343603e+00,7.463707679305733755e+00,9.868564899061487594e+00,1.339592846349089506e+01,1.622616751205193353e+01,1.844793263328113042e+01,2.183393593765400098e+01,2.294574544804972405e+01,2.508944887449879602e+01,2.684896443169414937e+01,2.736925190986471534e+01,2.812134282695884835e+01,2.875341706588151069e+01,2.889363492776026021e+01,2.889363492776027087e+01,2.889363492776026732e+01,2.889363492776025666e+01,2.889363492776026021e+01,2.889363492776024600e+01,2.889363492776025666e+01,2.889363492776026732e+01,2.889363492776024600e+01,2.963272474279414581e+01,3.051247620007593753e+01,3.306068251929237789e+01,3.600060443992723691e+01,3.699298080143194056e+01,4.025986177912285058e+01,4.408600806963023899e+01,4.730389561480230753e+01,4.992046812932585453e+01,5.169320510311339945e+01,5.206280695673912362e+01,5.012780153280094453e+01,5.037016043139634291e+01,4.540497700878538012e+01,4.336866722726331602e+01,3.939307065213912296e+01,3.526722800431036120e+01,3.271814588132168922e+01,3.015053728469677807e+01,2.722492354365565248e+01,2.128570188975755073e+01,1.555230149344059498e+01,1.386627869626554421e+01,1.246409424118452414e+01,1.162719689220391572e+01,1.152494311027102469e+01,1.097639215059520978e+01,9.726884331463958588e+00,8.902707338041352614e+00,9.089790812624196192e+00,8.937076327038697698e+00,7.794687018983909255e+00,6.407525374489530634e+00,4.360493979525346120e+00,1.361526322888621188e+00,1.821456159743463207e-06
Slice_Area,5.776057103022488289e-06,1.397092537583536798e+00,4.169492487235344491e+00,7.463707679305733755e+00,9.868564899061489371e+00,1.339592846349090216e+01,1.622616751205193353e+01,1.844793263328113397e+01,2.183393593765400809e+01,2.294574544804972405e+01,2.508944887449880667e+01,2.684896443169415647e+01,2.736925190986471179e+01,2.812134282695884480e+01,2.875341706588149648e+01,2.889363492776027798e+01,2.889363492776028863e+01,2.889363492776026732e+01,2.889363492776027798e+01,2.889363492776028863e+01,2.889363492776025311e+01,2.889363492776025666e+01,2.889363492776027798e+01,2.889363492776028863e+01,2.963272474279413160e+01,3.051247620007594819e+01,3.306068251929239210e+01,3.600060443992722270e+01,3.699298080143193346e+01,4.025986177912289321e+01,4.408600806963024610e+01,4.730389561480232885e+01,4.992046812932586874e+01,5.169320510311339945e+01,5.206280695673899572e+01,5.012780153280091611e+01,5.037016043139635002e+01,4.540497700878530196e+01,4.336866722726332313e+01,3.939307065213914427e+01,3.526722800431033278e+01,3.271814588132170343e+01,3.015053728469676031e+01,2.722492354365565959e+01,2.128570188975754718e+01,1.555230149344059676e+01,1.386627869626553178e+01,1.246409424118452236e+01,1.162719689220391750e+01,1.152494311027102825e+01,1.097639215059520623e+01,9.726884331463951483e+00,8.902707338041354390e+00,9.089790812624187311e+00,8.937076327038681711e+00,7.794687018983908366e+00,6.407525374489528858e+00,4.360493979525344344e+00,1.361526322888620966e+00,1.821456159743463419e-06
Slice_Area,5.776057103022489136e-06,1.397092537583537020e+00,4.169492487235344491e+00,7.463707679305733755e+00,9.868564899061484041e+00,1.339592846349090394e+01,1.622616751205193353e+01,1.844793263328114818e+01,2.183393593765399388e+01,2.294574544804969918e+01,2.508944887449877470e+01,2.684896443169414226e+01,2.736925190986475087e+01,2.812134282695881637e+01,2.875341706588151069e+01,2.889363492776025666e+01,2.889363492776027087e+01,2.889363492776027442e+01,2.889363492776030284e+01,2.889363492776026021e+01,2.889363492776023179e+01,2.889363492776027798e+01,2.889363492776027087e+01,2.889363492776021758e+01,2.963272474279417779e+01,3.051247620007594463e+01,3.306068251929239921e+01,3.600060443992722270e+01,3.699298080143194056e+01,4.025986177912287189e+01,4.408600806963026741e+01,4.730389561480232175e+01,4.992046812932584032e+01,5.169320510311341366e+01,5.206280695673897441e+01,5.012780153280094453e+01,5.037016043139626476e+01,4.540497700878537302e+01,4.336866722726335865e+01,3.939307065213917269e+01,3.526722800431032567e+01,3.271814588132174606e+01,3.015053728469676386e+01,2.722492354365565603e+01,2.128570188975756494e+01,1.555230149344059498e+01,1.386627869626554777e+01,1.246409424118450993e+01,1.162719689220392283e+01,1.152494311027101581e+01,1.097639215059520801e+01,9.726884331463944378e+00,8.902707338041347285e+00,9.089790812624185534e+00,8.937076326762964484e+00,7.794687018983917248e+00,6.407525374489529746e+00,4.360493979525346120e+00,1.361526322888620966e+00,1.821456159743463419e-06
Slice_Area,5.776057103022489983e-06,1.397092537583536798e+00,4.169492487235342715e+00,7.463707679305734644e+00,9.868564899061478712e+00,1.339592846349090394e+01,1.622616751205193708e+01,1.844793263328111266e+01,2.183393593765401164e+01,2.294574544804974181e+01,2.508944887449880667e+01,2.684896443169415292e+01,2.736925190986470824e+01,2.812134282695885190e+01,2.875341706588152135e+01,2.889363492776027798e+01,2.889363492776026376e+01,2.889363492776029929e+01,2.889363492776026376e+01,2.889363492776027798e+01,2.889363492776024600e+01,2.889363492776027442e+01,2.889363492776029929e+01,2.889363492776027087e+01,2.963272474279418134e+01,3.051247620007595529e+01,3.306068251929238500e+01,3.600060443992719428e+01,3.699298080143196898e+01,4.025986177912291453e+01,4.408600806963028162e+01,4.730389561480235727e+01,4.992046812932584032e+01,5.169320510311337813e+01,5.206280695673903125e+01,5.012780153280096584e+01,5.037016043139628607e+01,4.540497700878534459e+01,4.336866722726333023e+01,3.939307065213915848e+01,3.526722800431034699e+01,3.271814588132173185e+01,3.015053728469676031e+01,2.722492354365565248e+01,2.128570188975756849e+01,1.555230149344060209e+01,1.386627869626553000e+01,1.246409424118450815e+01,1.162719689220391395e+01,1.152494311027101581e+01,1.097639215059520268e+01,9.726884331463965694e+00,8.902707338041354390e+00,9.089790812624187311e+00,8.937076327038678158e+00,7.794687018983914584e+00,6.407525374489528858e+00,4.360493979525332797e+00,1.361526322888618523e+00,1.821456159743463207e-06
Slice_Area,5.776057103022487442e-06,1.397092537583537020e+00,4.169492487235342715e+00,7.463707679305736420e+00,9.868564899061480489e+00,1.339592846349090216e+01,1.622616751205193353e+01,1.844793263328114463e+01,2.183393593765399388e+01,2.294574544804970984e+01,2.508944887449880312e+01,2.684896443169417424e+01,2.736925190986471890e+01,2.812134282695884835e+01,2.875341706588149648e+01,2.889363492776027798e+01,2.889363492776029574e+01,2.889363492776030640e+01,2.889363492776027442e+01,2.889363492776029929e+01,2.889363492776028153e+01,2.889363492776027087e+01,2.889363492776027798e+01,2.889363492776024955e+01,2.963272474279416002e+01,3.051247620007594819e+01,3.306068251929242763e+01,3.600060443992720849e+01,3.699298080143194056e+01,4.025986177912287900e+01,4.408600806963030294e+01,4.730389561480232175e+01,4.992046812932585453e+01,5.169320510311327155e+01,5.206280695673910941e+01,5.012780153280098006e+01,5.037016043139625765e+01,4.540497700878531617e+01,4.336866722726328049e+01,3.939307065213910164e+01,3.526722800431035409e+01,3.271814588132174606e+01,3.015053728469675676e+01,2.722492354365569511e+01,2.128570188975754718e+01,1.555230149344061985e+01,1.386627869626555665e+01,1.246409424118452414e+01,1.162719689220389085e+01,1.152494311027103358e+01,1.097639215059519735e+01,9.726884331463951483e+00,8.902707338041352614e+00,9.089790812624185534e+00,8.937076327038690593e+00,7.794687018983924354e+00,6.407525374489528858e+00,4.360493979525347008e+00,1.361526322888618523e+00,1.821456159743463207e-06
Slice_Area,5.776057103022488289e-06,1.397092537583537020e+00,4.169492487235345379e+00,7.463707679305729314e+00,9.868564899061487594e+00,1.339592846349089150e+01,1.622616751205193353e+01,1.844793263328115174e+01,2.183393593765398677e+01,2.294574544804972760e+01,2.508944887449880312e+01,2.684896443169418490e+01,2.736925190986472956e+01,2.812134282695883769e+01,2.875341706588154977e+01,2.889363492776027087e+01,2.889363492776026732e+01,2.889363492776027442e+01,2.889363492776024245e+01,2.889363492776027087e+01,2.889363492776024955e+01,2.889363492776024245e+01,2.889363492776026376e+01,2.889363492776024600e+01,2.963272474279412450e+01,3.051247620007596240e+01,3.306068251929234947e+01,3.600060443992717296e+01,3.699298080143193346e+01,4.025986177912289321e+01,4.408600806963023189e+01,4.730389561480230753e+01,4.992046812932585453e+01,5.169320510311332129e+01,5.206280695673908809e+01,5.012780153280098006e+01,5.037016043139620791e+01,4.540497700878531617e+01,4.336866722726333023e+01,3.939307065213911585e+01,3.526722800431036831e+01,3.271814588132176738e+01,3.015053728469676386e+01,2.722492354365569511e+01,2.128570188975757560e+01,1.555230149344061985e+01,1.386627869626554421e+01,1.246409424118451170e+01,1.162719689220393882e+01,1.152494311027103002e+01,1.097639215059521334e+01,9.726884331463971023e+00,8.902707338041370377e+00,9.089790812624196192e+00,8.937076327038678158e+00,7.794687018983903037e+00,6.407525374489525305e+00,4.360493979525342567e+00,1.361526322888616081e+00,1.821456159743463207e-06
