PARASITE DRAG BUILD UP DATA 

Mach, Altitude (ft), Vinf (ft/s), S_ref (ft^2)
0.800034, 41000.000000, 774.500000, 193.678000 

Temp (F), Pressure (lbf/ft^2), Density (slug/ft^3) 
-69.700000, 373.303376, 0.000558 

Lam Cf Eqn, Turb Cf Eqn 
Laminar Blasius, Compressible Schlichting 

Component Name,S_wet (ft^2),L_ref (ft),t/c or d/l,FF,FF Eqn Type,Re,% Lam,Cf,Q (Interference Factor),f (ft^2),Cd,% Total 
Fuselage,545.855422, 42.364898, 6.967213,1.102262, Hoerner Streamlined Body,61626353.365965, 0.000000,0.002280, 1.000000,1.371643, 0.007082, 29.059187 
Fuselage_0,545.855422, 42.364898, 6.967213,1.102262, Hoerner Streamlined Body,61626353.365965, 0.000000,0.002280, 1.000000,1.371643, 0.007082, 29.059187 
BellyFairing,105.489292, 14.522052, 2.840668,1.618677, Hoerner Streamlined Body,21124590.452811, 0.000000,0.002672, 1.000000,0.456256, 0.002356, 9.666100 
BellyFairing_0,105.489292, 14.522052, 2.840668,1.618677, Hoerner Streamlined Body,21124590.452811, 0.000000,0.002672, 1.000000,0.456256, 0.002356, 9.666100 
MainWing,326.709760, 4.867276, 0.143434,1.312263, Hoerner,7080212.307539, 0.000000,0.003176, 1.000000,1.361774, 0.007031, 28.850121 
MainWing_0,163.354880, 4.867276, 0.143434,1.312263, Hoerner,7080212.307539, 0.000000,0.003176, 1.000000,0.680887, 0.003516, 14.425061 
MainWing_1,163.354880, 4.867276, 0.143434,1.312263, Hoerner,7080212.307539, 0.000000,0.003176, 1.000000,0.680887, 0.003516, 14.425061 
Nacelle,113.267437, 7.500000, 2.600980,1.755411, Hoerner Streamlined Body,10909920.047902, 0.000000,0.002962, 1.000000,0.588985, 0.003041, 12.478060 
Nacelle_0,56.633719, 7.500000, 2.600980,1.755411, Hoerner Streamlined Body,10909920.047902, 0.000000,0.002962, 1.000000,0.294493, 0.001521, 6.239030 
Nacelle_1,56.633719, 7.500000, 2.600980,1.755411, Hoerner Streamlined Body,10909920.047902, 0.000000,0.002962, 1.000000,0.294493, 0.001521, 6.239030 
Pylon,24.400191, 3.039184, 0.089941,1.183807, Hoerner,4420966.785125, 0.000000,0.003435, 1.000000,0.099211, 0.000512, 2.101860 
Pylon_0,12.200096, 3.039184, 0.089941,1.183807, Hoerner,4420966.785125, 0.000000,0.003435, 1.000000,0.049606, 0.000256, 1.050930 
Pylon_1,12.200096, 3.039184, 0.089941,1.183807, Hoerner,4420966.785125, 0.000000,0.003435, 1.000000,0.049606, 0.000256, 1.050930 
VertTail,111.264359, 7.588727, 0.099918,1.205817, Hoerner,11038987.205576, 0.000000,0.002957, 1.000000,0.396684, 0.002048, 8.404031 
VertTail_0,111.264359, 7.588727, 0.099918,1.205817, Hoerner,11038987.205576, 0.000000,0.002957, 1.000000,0.396684, 0.002048, 8.404031 
DorsalFin,7.712134, 4.285053, 0.049989,1.100353, Hoerner,6233277.548211, 0.000000,0.003243, 1.000000,0.027524, 0.000142, 0.583121 
DorsalFin_0,7.712134, 4.285053, 0.049989,1.100353, Hoerner,6233277.548211, 0.000000,0.003243, 1.000000,0.027524, 0.000142, 0.583121 
HorizTail,103.568182, 3.540526, 0.099918,1.205817, Hoerner,5150246.823621, 0.000000,0.003348, 1.000000,0.418090, 0.002159, 8.857521 
HorizTail_0,51.784091, 3.540526, 0.099918,1.205817, Hoerner,5150246.823621, 0.000000,0.003348, 1.000000,0.209045, 0.001079, 4.428760 
HorizTail_1,51.784091, 3.540526, 0.099918,1.205817, Hoerner,5150246.823621, 0.000000,0.003348, 1.000000,0.209045, 0.001079, 4.428760 

Excrescences, Type, Input

 , , , , , , , , , Geometry Sub-Total:, 4.720169, 0.024371, 100.000000 
 , , , , , , , , , Excrescence Sub-Total:, 0.000000, 0.000000, 0.000000 
 , , , , , , , , , Totals:, 4.720169, 0.024371, 100.000000 
