Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Fuselage,631.546421,547.185275,782.823500,732.415591
BellyFairing,199.877254,105.489292,181.330511,103.342863
MainWing,413.298821,326.709760,79.465617,67.833122
Nacelle,57.110326,56.633719,33.002689,33.002689
Nacelle,57.110326,56.633719,33.002689,33.002689
Pylon,20.635516,12.200096,1.771303,1.130851
Pylon,20.635516,12.200096,1.771303,1.130851
VertTail,97.880976,83.649490,20.116498,18.564446
DorsalFin,13.229011,7.712129,0.827277,0.520790
HorizTail,69.501522,67.980478,6.585919,6.585919
Totals,1580.825690,1276.394052,1140.697309,997.529814

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Fuselage_S_Surf0,631.546421,547.185275
BellyFairing_S_Surf0,199.877254,105.489292
MainWing_S_Surf0,206.649411,163.354880
MainWing_S_Surf1,206.649411,163.354880
Nacelle_S_Surf0,57.110326,56.633719
Nacelle_S_Surf1,57.110326,56.633719
Pylon_S_Surf0,20.635516,12.200096
Pylon_S_Surf1,20.635516,12.200096
VertTail_S_Surf0,97.880976,83.649490
DorsalFin_S_Surf0,13.229011,7.712129
HorizTail_S_Surf0,34.750761,33.990239
HorizTail_S_Surf1,34.750761,33.990239
