PARASITE DRAG BUILD UP DATA 

Mach, Altitude (ft), Vinf (ft/s), S_ref (ft^2)
0.800034, 41000.000000, 774.500000, 193.678000 

Temp (F), Pressure (lbf/ft^2), Density (slug/ft^3) 
-69.700000, 373.303376, 0.000558 

Lam Cf Eqn, Turb Cf Eqn 
Laminar Blasius, Compressible Schlichting 

Component Name,S_wet (ft^2),L_ref (ft),t/c or d/l,FF,FF Eqn Type,Re,% Lam,Cf,Q (Interference Factor),f (ft^2),Cd,% Total 
Fuselage,547.185275, 42.364898, 6.967213,1.102262, Hoerner Streamlined Body,61626353.365965, 0.000000,0.002280, 1.000000,1.374984, 0.007099, 30.570517 
Fuselage_0,547.185275, 42.364898, 6.967213,1.102262, Hoerner Streamlined Body,61626353.365965, 0.000000,0.002280, 1.000000,1.374984, 0.007099, 30.570517 
BellyFairing,105.489292, 14.522052, 2.840668,1.618677, Hoerner Streamlined Body,21124590.452811, 0.000000,0.002672, 1.000000,0.456256, 0.002356, 10.144107 
BellyFairing_0,105.489292, 14.522052, 2.840668,1.618677, Hoerner Streamlined Body,21124590.452811, 0.000000,0.002672, 1.000000,0.456256, 0.002356, 10.144107 
MainWing,326.709760, 4.867276, 0.143434,1.312263, Hoerner,7080212.307539, 0.000000,0.003176, 1.000000,1.361774, 0.007031, 30.276815 
MainWing_0,163.354880, 4.867276, 0.143434,1.312263, Hoerner,7080212.307539, 0.000000,0.003176, 1.000000,0.680887, 0.003516, 15.138407 
MainWing_1,163.354880, 4.867276, 0.143434,1.312263, Hoerner,7080212.307539, 0.000000,0.003176, 1.000000,0.680887, 0.003516, 15.138407 
Nacelle,113.267437, 7.500000, 2.600980,1.755411, Hoerner Streamlined Body,10909920.047902, 0.000000,0.002962, 1.000000,0.588985, 0.003041, 13.095124 
Nacelle_0,56.633719, 7.500000, 2.600980,1.755411, Hoerner Streamlined Body,10909920.047902, 0.000000,0.002962, 1.000000,0.294493, 0.001521, 6.547562 
Nacelle_1,56.633719, 7.500000, 2.600980,1.755411, Hoerner Streamlined Body,10909920.047902, 0.000000,0.002962, 1.000000,0.294493, 0.001521, 6.547562 
Pylon,24.400191, 3.039184, 0.089941,1.183807, Hoerner,4420966.785125, 0.000000,0.003435, 1.000000,0.099211, 0.000512, 2.205801 
Pylon_0,12.200096, 3.039184, 0.089941,1.183807, Hoerner,4420966.785125, 0.000000,0.003435, 1.000000,0.049606, 0.000256, 1.102901 
Pylon_1,12.200096, 3.039184, 0.089941,1.183807, Hoerner,4420966.785125, 0.000000,0.003435, 1.000000,0.049606, 0.000256, 1.102901 
VertTail,83.649490, 6.627479, 0.099918,1.205817, Hoerner,9640701.969980, 0.000000,0.003021, 1.000000,0.304754, 0.001574, 6.775707 
VertTail_0,83.649490, 6.627479, 0.099918,1.205817, Hoerner,9640701.969980, 0.000000,0.003021, 1.000000,0.304754, 0.001574, 6.775707 
DorsalFin,7.712129, 4.285053, 0.049989,1.100353, Hoerner,6233277.548211, 0.000000,0.003243, 1.000000,0.027524, 0.000142, 0.611957 
DorsalFin_0,7.712129, 4.285053, 0.049989,1.100353, Hoerner,6233277.548211, 0.000000,0.003243, 1.000000,0.027524, 0.000142, 0.611957 
HorizTail,67.980478, 2.871732, 0.099918,1.205817, Hoerner,4177382.929410, 0.000000,0.003468, 1.000000,0.284256, 0.001468, 6.319973 
HorizTail_0,33.990239, 2.871732, 0.099918,1.205817, Hoerner,4177382.929410, 0.000000,0.003468, 1.000000,0.142128, 0.000734, 3.159987 
HorizTail_1,33.990239, 2.871732, 0.099918,1.205817, Hoerner,4177382.929410, 0.000000,0.003468, 1.000000,0.142128, 0.000734, 3.159987 

Excrescences, Type, Input

 , , , , , , , , , Geometry Sub-Total:, 4.497746, 0.023223, 100.000000 
 , , , , , , , , , Excrescence Sub-Total:, 0.000000, 0.000000, 0.000000 
 , , , , , , , , , Totals:, 4.497746, 0.023223, 100.000000 
